series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total
andren_lynx_roedeer_data_1,0.0,0.0,0.06367668094587557,0.07281619299807544,0.06839926044562107,0.08639828890853879,0.0361643042410659,0.06622885031300073
andren_lynx_roedeer_data_1,1.0256410256410258,0.25,0.058704324315455095,0.06923519437939785,0.06418609597914153,0.08619427832193022,0.03619028053058257,0.06610291226686095
andren_lynx_roedeer_data_1,2.0512820512820515,0.5,0.05513254577559013,0.06685939316600215,0.0612771411630128,0.08590929678867243,0.03616059759073105,0.06590901339286982
andren_lynx_roedeer_data_1,3.0769230769230775,0.75,0.05320223562640139,0.06572714859984986,0.05979354454585327,0.08547712721695352,0.03606612829195982,0.06560146677946829
andren_lynx_roedeer_data_1,4.102564102564103,1.0,0.052849421526103876,0.06565467368064795,0.05959696943535041,0.08497081773944855,0.035922670139857504,0.06523219334533982
andren_lynx_roedeer_data_1,6.153846153846155,1.5,0.0564094357238476,0.06857625114401837,0.06278824197113013,0.08352406676579634,0.03546478506839323,0.06416393344023
andren_lynx_roedeer_data_1,8.205128205128206,2.0,0.06365576054963076,0.07439328677383292,0.06923300140888618,0.08161962226759244,0.034858112230364856,0.0627568750312234
andren_lynx_roedeer_data_1,12.30769230769231,3.0,0.08229491484133124,0.09061501122249489,0.08655499196347613,0.07659072848445717,0.03364480891318106,0.05915282265701403
andren_lynx_roedeer_data_1,20.512820512820515,5.0,0.11680697343604368,0.1258514129450962,0.12141344073776542,0.06311541083660341,0.036102283626709177,0.05141463783854064
andren_lynx_roedeer_data_2,0.0,0.0,0.06001414337152175,0.1314451975222697,0.10217518621535775,0.0674492832767074,0.09658531396372448,0.083301046476058
andren_lynx_roedeer_data_2,0.3005804311774461,0.25,0.05853169903253365,0.13151908601026302,0.10179201780250273,0.0670163782745658,0.09687744649781274,0.08329596207793108
andren_lynx_roedeer_data_2,0.6011608623548922,0.5,0.05718847075287485,0.13163222511614034,0.10148291451293334,0.06659990958531528,0.09716148965483996,0.08329436664240789
andren_lynx_roedeer_data_2,0.9017412935323383,0.75,0.05592562558764241,0.13176268476923747,0.10121531676324143,0.0661711514516279,0.09745725641840819,0.08329627276486519
andren_lynx_roedeer_data_2,1.2023217247097844,1.0,0.054837675606933825,0.13199275179740771,0.10106744578009128,0.06570034513261737,0.09778353665121396,0.08330112661472336
andren_lynx_roedeer_data_2,1.8034825870646767,1.5,0.05307882670022126,0.13263112954754974,0.10101578680812975,0.06484010546205057,0.09842852215736865,0.08334390574725141
andren_lynx_roedeer_data_2,2.4046434494195688,2.0,0.05194142768164689,0.13348151761496022,0.10127987819503113,0.06394604246986002,0.09912117871217,0.08340894561390608
andren_lynx_roedeer_data_2,3.6069651741293534,3.0,0.05162575922576115,0.13577739123712818,0.1027149428924449,0.06213361050153058,0.10063174796317018,0.0836281479290284
andren_lynx_roedeer_data_2,6.011608623548922,5.0,0.057379994014487345,0.14247901149377118,0.10861107777143358,0.05852736989748251,0.10411321297976026,0.08445417143068086
andren_lynx_roedeer_data_3,0.0,0.0,0.04838698546142656,0.1524757686285663,0.11311534020838283,0.05429703714261369,0.08855475363179742,0.07345104707645328
andren_lynx_roedeer_data_3,0.25835866261398177,0.25,0.04835731428755327,0.1524726207539018,0.11310687407197753,0.054288002847410824,0.08853075252286735,0.07343323973319464
andren_lynx_roedeer_data_3,0.5167173252279635,0.5,0.0484406803574082,0.15245081124094736,0.11311001140816745,0.05427935508021685,0.08853631917746023,0.07343339908181212
andren_lynx_roedeer_data_3,0.7750759878419453,0.75,0.04831914147325847,0.15250343446080794,0.11311948761167263,0.05426987221804844,0.08853686479142617,0.07343022353792267
andren_lynx_roedeer_data_3,1.033434650455927,1.0,0.048400004949106845,0.1524738138594404,0.11311680775180327,0.054259152296480886,0.08856646951118569,0.07344411184570378
